City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
454,Moranbah,AU,72.3,-22.0,148.05,Direct Hotels - Monterey Moranbah
455,Tarakan,ID,80.28,3.3,117.63,Swiss-Belhotel Tarakan
457,Aloleng,PH,84.83,16.13,119.78,
458,Bima,ID,75.83,-8.47,118.72,Lambitu Hotel
462,Finschhafen,PG,81.54,-6.6,147.87,Cossam Guest House
463,Kintinku,TZ,68.0,-5.88,35.23,
464,Dandong,CN,60.22,40.13,124.39,Yiranju Farmstay
465,Makakilo City,US,82.4,21.35,-158.09,Marriott's Ko Olina Beach Club
466,Ahipara,NZ,63.32,-35.17,173.17,Ahipara Holiday Park
467,Kudahuvadhoo,MV,85.14,2.67,72.89,NIYAMA Maldives Per AQUUM Resort
472,San Andres,CO,84.2,12.58,-81.7,Hotel Arena Blanca
473,Santa Teresa,VE,79.36,10.23,-66.66,"Hotel Phinotuy, C.A."
474,Parana,AR,68.0,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
475,Mahajanga,MG,77.0,-15.72,46.32,Restaurant Greedy Coco Lodge Majunga
476,Bongaree,AU,64.4,-27.08,153.16,The Gums Anchorage
477,Itupiranga,BR,82.4,-5.13,-49.33,JAIRO ORLINDO VIEIRA
480,Barcelona,ES,66.2,41.39,2.16,Axel Hotel Barcelona
481,Urumqi,CN,64.4,43.8,87.6,Hua Ling Grand Hotel Urumqi
482,Xuddur,SO,75.07,4.12,43.89,Banjanay Hotel
483,Kodinar,IN,78.51,20.79,70.7,Ambuja Guest House
484,Auki,SB,85.95,-8.77,160.7,Auki Motel
485,Santa Maria,BR,68.0,-29.68,-53.81,Hotel Morotin
487,Tezu,IN,71.17,27.92,96.17,Circuit House
488,Japura,ID,74.03,-0.32,102.35,KOST dan HOMESTAY RUMAH KITA JOSH
489,La Palma,US,79.0,33.85,-118.05,Holiday Inn la Mirada
495,Basco,PH,82.9,20.45,121.97,Nathaniel's Lodge
499,Yaan,NG,75.85,7.38,8.57,Father's garden
500,Pastos Bons,BR,75.13,-6.6,-44.08,Recanto Histórico Pousada e Restaurante
503,Oussouye,SN,77.0,12.48,-16.55,Hotel Kabekel
504,North Guwahati,IN,74.08,26.2,91.72,OYO 5332 Hotel Parnil Palace 1 Guwahati
505,Santa Cruz Cabralia,BR,75.2,-16.28,-39.02,Baia Cabrália Hotel
507,Islamkot,PK,75.9,24.7,70.18,Ghazi Guest House
509,Polson,US,63.0,47.69,-114.16,Kwataqnuk Resort & Casino
511,Morada Nova,BR,76.87,-5.11,-38.37,Motel Pousada Milleniun - Morada Nova-CE
512,Qui Nhon,VN,79.12,13.77,109.23,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
514,Mahibadhoo,MV,84.92,3.78,72.97,Zeeo
515,Amli,IN,75.78,20.28,73.02,SSR Girls Hostel
518,Santa Rosalia,MX,80.62,27.32,-112.28,Hotel Las Casitas Santa Rosalia
520,Sao Joao Da Barra,BR,71.6,-21.64,-41.05,Pousada João Vitor e o Mar
522,Riyadh,SA,87.8,24.69,46.72,InterContinental Riyadh
523,Bambanglipuro,ID,76.87,-7.95,110.28,Puri Brata
524,Whitehorse,CA,68.0,60.72,-135.05,Westmark Hotel
525,Katobu,ID,77.61,-4.94,122.53,La Ode Gombe
527,Jacqueville,CI,84.2,5.21,-4.41,Baie des Romances
528,Manggar,ID,79.66,-2.88,108.27,Guest Hotel
